name,city,country_iso,iata,icao,lat,lon,type,country
Fort Wayne International Airport,Fort Wayne,US,FWA,KFWA,40.978896,-85.194465,medium_airport,United States
Northeast Wyoming Regional Airport,Gillette,US,GCC,KGCC,44.3489,-105.539001,medium_airport,United States
Garden City Regional Airport,Garden City,US,GCK,KGCK,37.9275016785,-100.723999023,medium_airport,United States
Grand Canyon National Park Airport,Grand Canyon - Tusayan,US,GCN,KGCN,35.9524,-112.147003,medium_airport,United States
Dawson Community Airport,Glendive,US,GDV,KGDV,47.137658,-104.80691,medium_airport,United States
Spokane International Airport,Spokane,US,GEG,KGEG,47.6199,-117.533997,large_airport,United States
Grand Forks International Airport,Grand Forks,US,GFK,KGFK,47.949299,-97.176102,medium_airport,United States
East Texas Regional Airport,Longview,US,GGG,KGGG,32.38399887084961,-94.71150207519533,medium_airport,United States
Glasgow Valley County Airport Wokal Field,Glasgow,US,GGW,KGGW,48.212502,-106.614998,medium_airport,United States
Grand Junction Regional Airport,Grand Junction,US,GJT,KGJT,39.126663,-108.529387,medium_airport,United States
Mid Delta Regional Airport,Greenville,US,GLH,KGLH,33.482899,-90.985603,medium_airport,United States
Gainesville Regional Airport,Gainesville,US,GNV,KGNV,29.6900997162,-82.2717971802,medium_airport,United States
Glacier Park International Airport,Kalispell,US,FCA,KGPI,48.310501,-114.255997,medium_airport,United States
Gulfport Biloxi International Airport,Gulfport,US,GPT,KGPT,30.405582,-89.069836,medium_airport,United States
Austin Straubel International Airport,Green Bay,US,GRB,KGRB,44.483459,-88.130805,medium_airport,United States
Central Nebraska Regional Airport,Grand Island,US,GRI,KGRI,40.967498779296875,-98.30960083007812,medium_airport,United States
Killeen Regional Airport / Robert Gray Army Airfield,Fort Cavazos,US,GRK,KGRK,31.0672,-97.828903,medium_airport,United States
Gerald R. Ford International Airport,Grand Rapids,US,GRR,KGRR,42.880798,-85.522797,large_airport,United States
Piedmont Triad International Airport,Greensboro,US,GSO,KGSO,36.09937,-79.937262,large_airport,United States
Greenville-Spartanburg International Airport,Greenville/Greer/Spartanburg,US,GSP,KGSP,34.895699,-82.218903,medium_airport,United States
Great Falls International Airport,Great Falls,US,GTF,KGTF,47.481998,-111.371002,medium_airport,United States
Golden Triangle Regional Airport,Columbus/W Point/Starkville,US,GTR,KGTR,33.450298,-88.5914,medium_airport,United States
Gunnison Crested Butte Regional Airport,Gunnison,US,GUC,KGUC,38.534672,-106.934566,medium_airport,United States
Gallup Municipal Airport,Gallup,US,GUP,KGUP,35.511653,-108.788166,medium_airport,United States
Gary/Chicago International Airport,Gary,US,GYY,KGYY,41.617087,-87.413206,medium_airport,United States
Yampa Valley Airport,Hayden,US,HDN,KHDN,40.481201,-107.218002,medium_airport,United States
Hagerstown Regional Richard A Henson Field,Hagerstown,US,HGR,KHGR,39.708771,-77.728014,medium_airport,United States
Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,US,HHR,KHHR,33.922798,-118.334999,medium_airport,United States
Range Regional Airport,Hibbing,US,HIB,KHIB,47.384831,-92.836905,medium_airport,United States
Lake Havasu City Airport,Lake Havasu City,US,HII,KHII,34.570506,-114.357745,medium_airport,United States
Helena Regional Airport,Helena,US,HLN,KHLN,46.6068,-111.983002,medium_airport,United States
Lea County Regional Airport,Hobbs,US,HOB,KHOB,32.6875,-103.217003,medium_airport,United States
Memorial Field Airport,Hot Springs,US,HOT,KHOT,34.4788,-93.096262,medium_airport,United States
William P. Hobby Airport,Houston,US,HOU,KHOU,29.645336,-95.276812,large_airport,United States
Westchester County Airport,White Plains,US,HPN,KHPN,41.06700134277344,-73.70760345458984,medium_airport,United States
Valley International Airport,Harlingen,US,HRL,KHRL,26.228500366210938,-97.65440368652344,medium_airport,United States
Boone County Airport,Harrison,US,HRO,KHRO,36.26150131225586,-93.15470123291016,medium_airport,United States
Huntsville International Airport,Huntsville,US,HSV,KHSV,34.636244,-86.774378,medium_airport,United States
Tri-State Airport / Milton J. Ferguson Field,Huntington,US,HTS,KHTS,38.366699,-82.557999,medium_airport,United States
Tweed New Haven Airport,New Haven,US,HVN,KHVN,41.262869,-72.887694,medium_airport,United States
Havre City County Airport,Havre,US,HVR,KHVR,48.541387,-109.762859,medium_airport,United States
Hilton Head Airport,Hilton Head Island,US,HHH,KHXD,32.2244,-80.697502,medium_airport,United States
Cape Cod Gateway Airport,Hyannis,US,HYA,KHYA,41.6693,-70.280403,medium_airport,United States
Hays Regional Airport,Hays,US,HYS,KHYS,38.844521,-99.273148,medium_airport,United States
Washington Dulles International Airport,Dulles,US,IAD,KIAD,38.9445,-77.455803,large_airport,United States
Niagara Falls International Airport,Niagara Falls,US,IAG,KIAG,43.1073,-78.946198,medium_airport,United States
George Bush Intercontinental Airport,Houston,US,IAH,KIAH,29.9844,-95.3414,large_airport,United States
Wichita Dwight D. Eisenhower National Airport,Wichita,US,ICT,KICT,37.650314,-97.428583,medium_airport,United States
Idaho Falls Regional Airport,Idaho Falls,US,IDA,KIDA,43.514599,-112.070999,medium_airport,United States
Wilmington Airport,Wilmington,US,ILG,KILG,39.678699,-75.606499,medium_airport,United States
Wilmington International Airport,Wilmington,US,ILM,KILM,34.272345,-77.905117,medium_airport,United States
Ford Airport,Kingsford,US,IMT,KIMT,45.81911,-88.114557,medium_airport,United States
Indianapolis International Airport,Indianapolis,US,IND,KIND,39.7173,-86.294403,large_airport,United States
Falls International Airport,International Falls,US,INL,KINL,48.566200256347656,-93.4030990600586,medium_airport,United States
Imperial County Airport,Imperial,US,IPL,KIPL,32.83539,-115.574026,medium_airport,United States
Williamsport Regional Airport,Williamsport,US,IPT,KIPT,41.242126,-76.92245,medium_airport,United States
Kirksville Regional Airport,Kirksville,US,IRK,KIRK,40.09349822998047,-92.5448989868164,medium_airport,United States
Long Island MacArthur Airport,Islip,US,ISP,KISP,40.796324,-73.101703,medium_airport,United States
Ithaca Tompkins Regional Airport,Ithaca,US,ITH,KITH,42.49100112915039,-76.4583969116211,medium_airport,United States
Mesa Gateway Airport,Mesa,US,AZA,KIWA,33.3078,-111.654999,medium_airport,United States
Jackson Hole Airport,Jackson,US,JAC,KJAC,43.6073,-110.737999,medium_airport,United States
Jackson-Medgar Wiley Evers International Airport,Jackson,US,JAN,KJAN,32.311199,-90.075897,medium_airport,United States
Jacksonville International Airport,Jacksonville,US,JAX,KJAX,30.492469,-81.687813,large_airport,United States
Jonesboro Municipal Airport,Jonesboro,US,JBR,KJBR,35.83169937133789,-90.64640045166016,medium_airport,United States
John F. Kennedy International Airport,New York,US,JFK,KJFK,40.639447,-73.779317,large_airport,United States
Joplin Regional Airport,Joplin,US,JLN,KJLN,37.151798,-94.498299,medium_airport,United States
Jamestown Regional Airport,Jamestown,US,JMS,KJMS,46.92969894,-98.67819977,medium_airport,United States
Concord-Padgett Regional Airport,Concord,US,USA,KJQF,35.387798,-80.709099,medium_airport,United States
John Murtha Johnstown Cambria County Airport,Johnstown,US,JST,KJST,40.31610107421875,-78.83390045166016,medium_airport,United States
Purdue University Airport,West Lafayette,US,LAF,KLAF,40.412875,-86.939363,medium_airport,United States
Lakeland Linder International Airport,Lakeland,US,LAL,KLAL,27.989267,-82.020715,medium_airport,United States
Capital Region International Airport,Lansing,US,LAN,KLAN,42.777582,-84.585721,medium_airport,United States
Laramie Regional Airport,Laramie,US,LAR,KLAR,41.31209945678711,-105.6750030517578,medium_airport,United States
Harry Reid International Airport,Las Vegas,US,LAS,KLAS,36.083361,-115.151817,large_airport,United States
Lawton Fort Sill Regional Airport,Lawton,US,LAW,KLAW,34.567699,-98.416603,medium_airport,United States
Los Angeles International Airport,Los Angeles,US,LAX,KLAX,33.942501,-118.407997,large_airport,United States
Lubbock Preston Smith International Airport,Lubbock,US,LBB,KLBB,33.663601,-101.822998,medium_airport,United States
Arnold Palmer Regional Airport,Latrobe,US,LBE,KLBE,40.275902,-79.4048,medium_airport,United States
North Platte Regional Airport Lee Bird Field,North Platte,US,LBF,KLBF,41.12620163,-100.6839981,medium_airport,United States
Liberal Mid-America Regional Airport,Liberal,US,LBL,KLBL,37.0442009,-100.9599991,medium_airport,United States
Lake Charles Regional Airport,Lake Charles,US,LCH,KLCH,30.126100540161133,-93.22329711914062,medium_airport,United States
Rickenbacker International Airport,Columbus,US,LCK,KLCK,39.813801,-82.927803,medium_airport,United States
Lebanon Municipal Airport,Lebanon,US,LEB,KLEB,43.626098632799994,-72.30419921880001,medium_airport,United States
Blue Grass Airport,Lexington,US,LEX,KLEX,38.035066,-84.606738,medium_airport,United States
Lafayette Regional Airport,Lafayette,US,LFT,KLFT,30.205299,-91.987602,medium_airport,United States
LaGuardia Airport,New York,US,LGA,KLGA,40.777199,-73.872597,large_airport,United States
Long Beach International Airport,Long Beach,US,LGB,KLGB,33.816523,-118.149891,large_airport,United States
Bill & Hillary Clinton National Airport/Adams Field,Little Rock,US,LIT,KLIT,34.729222,-92.223591,medium_airport,United States
Lincoln Airport,Lincoln,US,LNK,KLNK,40.844882,-96.76178,medium_airport,United States
Lancaster Airport,Lancaster,US,LNS,KLNS,40.121700286865234,-76.29609680175781,medium_airport,United States
Laredo International Airport,Laredo,US,LRD,KLRD,27.5438,-99.461601,medium_airport,United States
Las Cruces International Airport,Las Cruces,US,LRU,KLRU,32.289398,-106.921997,medium_airport,United States
La Crosse Regional Airport,La Crosse,US,LSE,KLSE,43.879002,-91.256699,medium_airport,United States
Cincinnati Municipal Airport Lunken Field,Cincinnati,US,LUK,KLUK,39.102357,-84.418945,medium_airport,United States
Greenbrier Valley Airport,Lewisburg,US,LWB,KLWB,37.857914,-80.400438,medium_airport,United States
Lewiston Nez Perce County Airport,Lewiston,US,LWS,KLWS,46.3745002746582,-117.01499938964844,medium_airport,United States
Lynchburg Regional Airport - Preston Glenn Field,Lynchburg,US,LYH,KLYH,37.326698,-79.200401,medium_airport,United States
Midland International Air and Space Port,Midland,US,MAF,KMAF,31.942499,-102.202003,medium_airport,United States
